                                 Брестская область




         Наименование и номер
                                         Фамилия, имя, отчество избранного депутата
         избирательного округа


Брестский-Западный № 1                           Брич Леонид Григорьевич
Брестский-Центральный № 2                        Васько Марина Викторовна
Брестский-Восточный № 3                        Дашко Анатолий Михайлович
Брестский-Пограничный № 4                      Зайцев Евгений Станиславович
Барановичский-Западный № 5                    Хлобукин Игорь Константинович
Барановичский–Восточный № 6                        Попко Павел Иванович
Барановичский сельский № 7                    Жолнерчик Людмила Николаевна
Беловежский № 8                                Стативко Жанна Владимировна
Пружанский № 9                                 Левчук Александр Георгиевич
Днепро-Бугский № 10                           Бартош Светлана Владимировна
Ивацевичский № 11                                Голуб Наталья Григорьевна
Кобринский № 12                               Демидович Василий Николаевич
Лунинецкий № 13                                 Насеня Анатолий Васильевич
Пинский городской № 14                        Омельянюк Александр Павлович
Пинский сельский № 15                        Бегеба Валентина Константиновна
Столинский № 16                               Боболович Александр Сергеевич

