                                  Витебская область




          Наименование и номер
                                           Фамилия, имя, отчество избранного депутата
          избирательного округа


Витебский-Горьковский № 17                       Николайкин Виктор Павлович
Витебский-Чкаловский № 18                        Автухова Татьяна Анатольевна
Витебский-Железнодорожный № 19                  Горваль Светлана Александровна
Витебский-Октябрьский № 20                       Егоров Алексей Владимирович
Городокский № 21                                  Полякова Ирина Михайловна
Докшицкий № 22                                  Андрейченко Владимир Павлович
Лепельский № 23                                   Мартынов Игорь Феликсович
Новополоцкий № 24                                  Карась Денис Николаевич
Оршанский городской № 25                              Крачек Инна Юрьевна
Оршанский-Днепровский № 26                       Васюков Виталий Михайлович
Полоцкий городской № 27                        Одинцова Светлана Владимировна
Полоцкий сельский № 28                            Шевчук Николай Николаевич
Поставский № 29                                   Сильчёнок Павел Матвеевич
Сенненский № 30                                   Дубов Александр Васильевич

