                                Гомельская область




        Наименование и номер
                                        Фамилия, имя, отчество избранного депутата
        избирательного округа


Гомельский-Юбилейный № 31                        Уткин Виталий Юрьевич
Гомельский-Сельмашевский № 32                Данченко Александр Михайлович
Гомельский-Центральный № 33                   Злотников Андрей Анатольевич
Гомельский-Советский № 34                       Довгало Ирина Викторовна
Гомельский-Промышленный № 35                 Машкаров Александр Валерьевич
Гомельский-Новобелицкий № 36                      Креч Ольга Зеноновна
Гомельский сельский № 37                       Завалей Игорь Владимирович
Буда-Кошелевский № 38                         Васильков Николай Андреевич
Житковичский № 39                              Кралевич Ирина Николаевна
Жлобинский № 40                                Волков Игорь Владимирович
Калинковичский № 41                          Адаменко Евгений Буниславович
Мозырский № 42                               Назаренко Валентина Алексеевна
Полесский № 43                                 Писаник Леонид Федорович
Речицкий № 44                                 Стельмашок Сергей Петрович
Рогачевский № 45                              Кравцов Сергей Владимирович
Светлогорский № 46                               Тавтын Игорь Павлович
Хойникский № 47                               Чернявская Жанна Николаевна

