                                Гродненская область




        Наименование и номер
                                         Фамилия, имя, отчество избранного депутата
        избирательного округа


Волковысский № 48                              Поконечный Павел Леонидович
Гродненский-Занеманский № 49                    Луканская Ирина Эдуардовна
Гродненский-Октябрьский № 50                   Потапова Елена Станиславовна
Гродненский-Центральный № 51                     Кирьяк Лилия Вацлавовна
Гродненский-Ленинский № 52                      Долгошей Тамара Сергеевна
Гродненский сельский № 53                       Аутко Александр Викторович
Ивьевский № 54                                 Маркевич Александр Иванович
Лидский № 55                                   Мицкевич Валерий Вацлавович
Неманский № 56                                Синяк Владимир Александрович
Замковый № 57                                  Сонгин Александр Генрихович
Слонимский № 58                               Семеняко Валентин Михайлович
Сморгонский № 59                                 Свилло Виктор Збигневич
Щучинский № 60                                  Михалюк Павел Рышардович

