                                Минская область




       Наименование и номер
                                      Фамилия, имя, отчество избранного депутата
       избирательного округа


Березинский № 61                           Лавриненко Игорь Владимирович
Борисовский городской № 62                  Шипуло Александр Валерьевич
Борисовский сельский № 63                    Ананич Лилия Станиславовна
Жодинский № 64                              Стрельченок Валерий Иванович
Пуховичский № 65                             Белоконев Олег Алексеевич
Копыльский № 66                              Нижевич Людмила Ивановна
Слуцкий № 67                                Ражанец Валентина Витальевна
Солигорский городской № 68                 Струневский Андрей Николаевич
Солигорский сельский № 69                     Мурина Юлия Григоревна
Столбцовский № 70                             Мамайко Иван Андреевич
Дзержинский № 71                             Саракач Александр Иванович
Молодечненский городской № 72              Кананович Людмила Николаевна
Молодечненский сельский № 73                  Семенчук Олег Алексеевич
Вилейский № 74                            Супранович Ирина Александровна
Логойский № 75                               Вабищевич Петр Андреевич
Сеницкий № 76                            Подлужная Людмила Брониславовна
Заславский № 77                            Курсевич Валентина Вацлавовна

