                               Могилевская область




         Наименование и номер
                                        Фамилия, имя, отчество избранного депутата
         избирательного округа


Бобруйский-Ленинский № 78                      Рынейская Ирина Николаевна
Бобруйский-Первомайский № 79                   Широкая Вера Владимировна
Бобруйский сельский № 80                      Гацко Владимир Владимирович
Быховский № 81                               Сыранков Сергей Александрович
Горецкий № 82                                   Колеснева Елена Петровна
Кричевский № 83                              Азаренко Владимир Николаевич
Могилевский-Ленинский № 84                   Марзалюк Игорь Александрович
Могилевский-Центральный № 85                  Здорикова Людмила Евгеньевна
Могилевский-Октябрьский № 86                 Петрашова Ольга Владимировна
Могилевский-Промышленный № 87               Масейков Александр Анатольевич
Могилевский сельский № 88                     Тарасенко Наталья Эдуардовна
Осиповичский № 89                            Шутова Светлана Александровна
Шкловский № 90                                Ганчук Андрей Александрович

