                                г. Минск




        Наименование и номер
                                   Фамилия, имя, отчество избранного депутата
        избирательного округа


Шабановский № 91                            Лагунова Галина Николаевна
Автозаводской № 92                   Гранковский Александр Александрович
Васнецовский № 93                          Шкроб Марина Александровна
Свислочский № 94                           Воронецкий Валерий Иосифович
Купаловский № 95                            Сайганова Татьяна Ивановна
Чкаловский № 96                            Савиных Андрей Владимирович
Октябрьский № 97                           Клишевич Сергей Михайлович
Грушевский № 98                       Макарина-Кибак Людмила Эдуардовна
Юго-Западный № 99                           Комаровский Игорь Сергеевич
Есенинский № 100                            Гайдук Оксана Вячеславовна
Каменногорский № 101                    Старовойтова Анна Валентиновна
Западный № 102                         Ленчевская Марина Александровна
Пушкинский № 103                            Панасюк Василий Васильевич
Кальварийский № 104                         Василевич Мария Викторовна
Старовиленский № 105                       Любецкая Светлана Анатольевна
Коласовский № 106                           Дик Сергей Константинович
Восточный № 107                        Давыдько Геннадий Брониславович
Калиновский № 108                            Гайдукевич Олег Сергеевич
Уручский № 109                              Гордейчик Иван Аркадьевич
Партизанский № 110                          Думбадзе Тенгиз Шукриевич

