Знак,Западная астрология (вариант I),Западная астрология (вариант II),Данные астрономии,Символ,Код
Овен,"21-03, 19-04","21-03, 20-04","19-04, 13-05",♈,U+2648
Телец,"20-04, 20-05","21-04, 21-05","14-05, 19-06",♉,U+2649
Близнецы,"21-05, 20-06","22-05, 21-06","20-06, 20-07",♊,U+264A
Рак,"21-06, 22-07","22-06, 22-07","21-07, 9-08",♋,U+264B
Лев,"23-07, 22-08","23-07, 21-08","10-08, 15-09",♌,U+264C
Дева,"23-08, 22-09","22-08, 23-09","16-09, 30-10",♍,U+264D
Весы,"23-09, 22-10","24-09, 23-10","31-10, 22-11",♎,U+264E
Скорпион,"23-10, 21-11","24-10, 22-11","23-11, 29-11",♏,U+264F
Стрелец,"22-11, 21-12","23-11, 22-12","18-12, 18-01",♐,U+2650
Козерог,"22-12, 19-01","23-12, 20-01","19-01, 15-02",♑,U+2651
Водолей,"20-01, 18-02","21-01, 19-02","16-02, 11-03",♒,U+2652
Рыбы,"19-02, 20-03","20-02, 20-03","12-03, 18-04",♓,U+2653
